ID	Gene.symbol	logFC	AveExpr	t	P.Value	adj.P.Val	B
H3126C01_1	Zfp367	-0.797675	-0.39404375	-2.99163951768379	0.00814248993809908	0.999805217187098	-3.74093371616568
H3001H05_1	Hspe1	-0.44595	-0.4744875	-2.95326328272372	0.00883770383006683	0.999805217187098	-3.75962703630525
H3056A02_1	Klf6	-0.576575	-0.599825	-2.94763863688061	0.00894432812101749	0.999805217187098	-3.7623708287261
H3125F06_1	9330182L06Rik	-0.480375	0.20138125	-2.94618769291736	0.00897203520207166	0.999805217187098	-3.76307878176729
H3098F04_1	Nsl1	-0.675125	-0.5962125	-2.94366590790178	0.00902038939956164	0.999805217187098	-3.76430937999517
H3064C12_1	Smc6	-0.5455	-0.34205	-2.93168275225123	0.00925364051012996	0.999805217187098	-3.77015964124086
H3074H06_1	Pcdhga12///Pcdhga11///Pcdhga10///Pcdhga9///Pcdhga8///Pcdhga7///Pcdhga6///Pcdhga5///Pcdhga4///Pcdhga3///Pcdhga2///Pcdhga1///Pcdhgc5///Pcdhgc4///Pcdhgc3///Pcdhgb8///Pcdhgb7///Pcdhgb6///Pcdhgb5///Pcdhgb4///Pcdhgb1	0.495625	0.138025	2.91876399971593	0.00951165823926221	0.999805217187098	-3.77647142899619
H3016E02_1	Slbp	-0.76015	-0.56264375	-2.90503872187634	0.00979342554805693	0.999805217187098	-3.78318248410881
H3023H12_1		-0.564	-0.71245625	-2.9044327423395	0.00980605044597352	0.999805217187098	-3.78347890201179
H3027E02_1	H2AFZ///H2afz///H2afz///H2AFZ	-0.5905	-0.718725	-2.895517438308	0.00999362338163621	0.999805217187098	-3.7878410190379
H3099B05_1		-0.824475	-0.046825	-2.89516851558387	0.0100010347542658	0.999805217187098	-3.78801178480998
H3093D05_1	Tfrc	-0.586	0.04901875	-2.88276747703246	0.0102679258301666	0.999805217187098	-3.79408303435788
H3016A09_1	Klf16	-0.517075	-0.00932499999999999	-2.87118963521788	0.0105233146969316	0.999805217187098	-3.79975481385068
H3013D11_1	Mt2	0.511225	0.55085	2.85008517077642	0.0110047403636709	0.999805217187098	-3.81010188245673
H3079E05_1	Pole	-0.978775	-0.92130625	-2.83872141634648	0.0112727114979467	0.999805217187098	-3.81567752688205
H3100D05_1		0.760025	0.01209375	2.83702479947096	0.0113132566321941	0.999805217187098	-3.81651021806293
H3120G06_1	Tpm1	-0.7568	-0.5592125	-2.83618722111024	0.011333324659205	0.999805217187098	-3.81692132026007
H3057C01_1	Ifrd1	-0.647	-0.1075625	-2.82925026673836	0.0115008574593707	0.999805217187098	-3.82032670626763
H3040C06_1	Shmt1	-0.702225	-0.69469375	-2.82786273538986	0.0115346531250798	0.999805217187098	-3.82100797369695
H3144D03_1	Hells	-0.840075	-0.4458	-2.82574152430839	0.0115865041321823	0.999805217187098	-3.82204954931932
H3117F03_1		-0.5242	-0.004275	-2.8231602513013	0.0116499043559935	0.999805217187098	-3.82331715300273
H3135B05_1	Btrc	-0.374125	0.11008125	-2.80976310774465	0.0119843731172214	0.999805217187098	-3.82989831731474
H3042H02_1		1.041175	-0.212025	2.79258477821542	0.0124268074386526	0.999805217187098	-3.8383419134204
H3101C02_1	Ube2t	-0.618875	-0.7062125	-2.79082075670197	0.0124731213495191	0.999805217187098	-3.83920927588902
H3087F05_1	Tsr2	-0.41405	-0.097925	-2.77161505390014	0.0129882381111426	0.999805217187098	-3.84865602206961
H3131C01_1	Dsn1	-0.744775	-0.7990125	-2.76891167992807	0.0130623689553918	0.999805217187098	-3.84998621060635
H3061F04_1	Ctdspl	-0.399	-0.2684125	-2.76776593847129	0.0130939096735028	0.999805217187098	-3.85055000363246
H3033C02_1	Plk4	-0.7172	-0.694275	-2.763431373073	0.0132138984870652	0.999805217187098	-3.85268312231824
H3113A01_1	Slbp	-0.6671	-0.48644375	-2.76276341707049	0.0132324825218234	0.999805217187098	-3.85301186046333
H3067C09_1	Smc4	-0.87995	-1.134325	-2.75456871747998	0.0134625325849051	0.999805217187098	-3.85704545011189
H3090H03_1	Rpa3	-0.5544	-0.6224875	-2.75307971126626	0.0135047441826167	0.999805217187098	-3.8577784694445
H3092C11_1		-0.401025	-0.1013	-2.74933954445519	0.0136113353166731	0.999805217187098	-3.85961984098928
H3026G05_1	Hsp90b1	-0.61655	-0.33473125	-2.74842636260842	0.013637482636322	0.999805217187098	-3.86006945038935
H3140D08_1	Fkbp1a	-0.39305	-0.153625	-2.74246789967033	0.013809280919338	0.999805217187098	-3.86300339668277
H3004F02_1	Snrpa1	-0.4858	-0.37906875	-2.74039618069365	0.0138694996476113	0.999805217187098	-3.86402361766371
H3083D02_1	Ccna2	-0.967875	-1.16516875	-2.73394940879222	0.0140585056643942	0.999805217187098	-3.86719867959748
H3016F04_1		-0.4576	-0.0158875	-2.7302860179623	0.0141670079042435	0.999805217187098	-3.86900313668174
H3117F10_1	Cdk3///Cdk2	-0.593425	-0.61241875	-2.72453063955106	0.0143390953871313	0.999805217187098	-3.87183834378149
H3134C11_1	Gars	-0.4686	-0.3735125	-2.72372582105615	0.0143633189545017	0.999805217187098	-3.87223484181341
H3075H02_1	Padi2	0.61475	0.00648749999999999	2.71931492407329	0.0144967776159677	0.999805217187098	-3.87440801711771
H3089B05_1		-0.550125	-0.01178125	-2.71051034277436	0.0147667389839316	0.999805217187098	-3.87874648702042
H3017F02_1		-0.45335	-0.1863625	-2.70550255497755	0.0149224283661012	0.999805217187098	-3.88121441718634
H3002E09_1	Sfn	0.4096	0.000874999999999999	2.70291341357962	0.0150035390542769	0.999805217187098	-3.88249048389351
H3046C05_1		-0.4577	-0.018775	-2.7020280056655	0.0150313732569281	0.999805217187098	-3.8829268737005
H3058H02_1	Aasdhppt	0.632025	-0.0831875	2.70041388465058	0.0150822430673291	0.999805217187098	-3.88372244091693
H3156E01_1	Tcf25	-0.430025	0.04675	-2.69076460882913	0.0153898013323361	0.999805217187098	-3.88847882252638
H3108A06_1	Tnfrsf19	0.654525	0.687175	2.68729467684821	0.0155018620275203	0.999805217187098	-3.89018942081812
H3035B02_1	Tpm1	-0.645375	-0.37261875	-2.68719460552738	0.0155051053690104	0.999805217187098	-3.8902387550392
H3010E09_1	Mt2	0.73395	0.34333125	2.68644531675758	0.0155294106905617	0.999805217187098	-3.8906081496588
H3030C06_1	Nme1	-0.448625	-0.472775	-2.68482830920035	0.0155819872805021	0.999805217187098	-3.89140533778569
H3135D11_1	Tpm2	-0.678475	-0.6487625	-2.67915243651665	0.0157678885475059	0.999805217187098	-3.89420369685786
H3055E11_1	Dtl	-0.515675	-0.54389375	-2.6772997164036	0.0158290285544232	0.999805217187098	-3.8951171837385
H3032C01_1	Cycs///Cycs	-0.54815	-0.330025	-2.6569797441554	0.0165146420588872	0.999805217187098	-3.90513724150433
H3149F09_1	Cdh11	0.5474	0.6755125	2.64943694931625	0.016776292746483	0.999805217187098	-3.90885717762274
H3078F02_1	Odc1	-0.622675	-0.6358125	-2.64576789543069	0.0169049946738239	0.999805217187098	-3.91066674368714
H3078B12_1	Tfdp1	-0.4983	-0.32154375	-2.64539085251231	0.0169182737539788	0.999805217187098	-3.91085270243624
H3011H05_1	Eif4a1	-0.34585	-0.11361875	-2.64048344463547	0.017092018601989	0.999805217187098	-3.91327308716938
H3135H04_1	Tst	0.5742	0.742275	2.63018417091654	0.0174622133537871	0.999805217187098	-3.9183529696243
H3020D04_1	Foxp1	0.408825	0.014775	2.6251447554133	0.0176461235741692	0.999805217187098	-3.92083860459759
H3018B07_1	Trim27	-0.364925	-0.064625	-2.62247091795153	0.0177444519784796	0.999805217187098	-3.92215745370383
H3042F03_1	Smyd5	-0.397475	-0.23529375	-2.61371963635337	0.0180699386857628	0.999805217187098	-3.92647396761337
H3106D05_1		0.559575	0.0359125	2.6121004314369	0.0181307821874919	0.999805217187098	-3.92727262851623
H3114E09_1		0.5617	-0.00155	2.60396672646194	0.0184393791934326	0.999805217187098	-3.93128448467462
H3037D04_1		0.409425	0.08603125	2.58890545302356	0.0190240602143903	0.999805217187098	-3.93871297814056
H3051H02_1		0.8576	-0.093625	2.56495189345018	0.0199904032772931	0.999805217187098	-3.95052568730648
H3003H06_1	2310014H01Rik	0.4085	0.04573125	2.55490523569	0.0204094332503449	0.999805217187098	-3.95547930006777
H3033H02_1		0.8258	-0.18481875	2.55382145168338	0.0204551310093213	0.999805217187098	-3.95601363174517
H3048F12_1	Clip1	0.4563	0.08220625	2.552861351766	0.0204956947098638	0.999805217187098	-3.95648697727973
H3080A02_1	Cbfb	-0.529075	-0.3539625	-2.54459041387506	0.0208483114348605	0.999805217187098	-3.96056440656729
H3024E04_1	Cdc2a	-0.731175	-1.0941875	-2.54388683625198	0.0208785712711247	0.999805217187098	-3.960911233553
H3144C11_1	Hspa5	-0.4418	-0.23738125	-2.542686062806	0.0209303109715701	0.999805217187098	-3.96150314273512
H3118C02_1		0.489875	-0.07285	2.5417945855413	0.0209688021204459	0.999805217187098	-3.9619425797522
H3054C04_1		0.444425	-0.0024125	2.53958863916031	0.0210643365337694	0.999805217187098	-3.96302993083685
H3019C03_1	Tk1	-0.737375	-1.0747625	-2.53536970211532	0.0212481990664472	0.999805217187098	-3.96510940338287
H3121H03_1		-0.4092	-0.43111875	-2.5321026818982	0.0213916204935404	0.999805217187098	-3.96671957431002
H3115E05_1	Chaf1b	-0.610775	-0.4498625	-2.5297054238214	0.0214974424400839	0.999805217187098	-3.96790101335511
H3104A03_1	Espl1	-0.632125	-1.10696875	-2.52207160570009	0.0218377343222321	0.999805217187098	-3.97166280072947
H3059G10_1	Dna2l	-0.49825	-0.5464125	-2.52196272542426	0.0218426245574374	0.999805217187098	-3.97171645030466
H3018B05_1	Dus2l	-0.397675	0.03135625	-2.51885507053914	0.0219826392180934	0.999805217187098	-3.97324765967326
H3142B03_1	Senp5	-0.3845	0.07310625	-2.51423041469829	0.0221925755508988	0.999805217187098	-3.97552613038524
H3087G06_1		0.34525	0.05440625	2.50554962391705	0.0225917719877596	0.999805217187098	-3.97980229701145
H3027G08_1	Bub3	-0.46525	-0.1654375	-2.50445628180768	0.0226425294450745	0.999805217187098	-3.98034081291149
H3116H10_1	Etv5	-0.638725	-1.0639875	-2.50260640659349	0.0227286539130273	0.999805217187098	-3.98125191780846
H3027H10_1	Nol5a	-0.442675	-0.23373125	-2.50224189152327	0.0227456610915175	0.999805217187098	-3.98143144444288
H3059B04_1	Ccdc79	-0.422525	-0.06400625	-2.50107095406884	0.0228003749432927	0.999805217187098	-3.98200812898448
H3136H06_1		0.561975	0.10666875	2.49838226725347	0.0229264791105781	0.999805217187098	-3.98333223407845
H3034D02_1	6230416J20Rik	0.902	-0.147875	2.49817550616536	0.0229362038162108	0.999805217187098	-3.98343405430535
H3013G09_1	Etf1	-0.479425	-0.2263125	-2.49666251796665	0.0230074837238254	0.999805217187098	-3.98417911314486
H3084D09_1	Ankrd15	0.5101	0.5305	2.49335845638413	0.0231638730084274	0.999805217187098	-3.9858060628167
H3082F07_1	BC008155	-1.033275	-0.96771875	-2.48855481264459	0.0233930334201617	0.999805217187098	-3.9881711466397
H3118A02_1	Tipin	-0.609325	-0.57375625	-2.4858601120716	0.0235225212664657	0.999805217187098	-3.98949774175098
H3072A02_1		0.368275	0.094075	2.4851368128596	0.0235573928372622	0.999805217187098	-3.98985380205677
H3079B09_1	Setd8	-0.449775	-0.24950625	-2.48212741585858	0.0237030059855014	0.999805217187098	-3.99133516088833
H3009D10_1	H2AFZ///H2afz///H2afz///H2AFZ	-0.51095	-0.7801875	-2.4712872786432	0.0242345900657397	0.999805217187098	-3.99666998481365
H3075B10_1	Cdc42se2	0.473325	0.5734875	2.46975462575084	0.0243106502799006	0.999805217187098	-3.99742410484932
H3057D08_1	Shcbp1	-0.8293	-1.1106625	-2.4575664006821	0.0249235707717013	0.999805217187098	-4.00341970824185
H3088F05_1		-0.494175	-0.00288125	-2.45673161407232	0.0249660789303565	0.999805217187098	-4.00383025781061
H3048H04_1		0.419275	0.04405	2.44409771124986	0.025617804733755	0.999805217187098	-4.01004203255661
H3008C10_1	Rabggtb	-0.38495	-0.3265125	-2.4429385285197	0.0256783971857053	0.999805217187098	-4.01061181857513
H3011E02_1	Prl3d1	-0.415675	0.069975	-2.43783872229028	0.0259465780763711	0.999805217187098	-4.01311826117452
H3092G11_1	Lmbr1	-0.439075	-0.11699375	-2.43685951459242	0.0259983717902089	0.999805217187098	-4.01359945928941
H3038G03_1	Ndc80	-0.5809	-0.95071875	-2.43639916913296	0.0260227546617298	0.999805217187098	-4.013825673441
H3020G07_1		-0.40895	-0.4455125	-2.43550930907455	0.0260699483900685	0.999805217187098	-4.01426293891757
H3053A02_1	Cdca2	-0.531425	-0.99626875	-2.43544391705375	0.0260734196291934	0.999805217187098	-4.01429507104021
H3057B02_1		-0.573275	-0.35271875	-2.42708172626673	0.0265209134054451	0.999805217187098	-4.01840330817124
H3145E11_1	Mbnl1	-0.5062	-0.5257875	-2.42633733593801	0.0265610966916108	0.999805217187098	-4.01876894423089
H3147A10_1		-0.485	0.01354375	-2.42564780049004	0.02659836987682	0.999805217187098	-4.01910762529817
H3051B05_1	Fbxo5	-0.74985	-0.75665625	-2.42533780803768	0.0266151426871177	0.999805217187098	-4.01925988173718
H3072B03_1		-0.494525	-0.0623625	-2.42366924308086	0.0267055948627945	0.999805217187098	-4.02007938035083
H3013G10_1	Birc5	-0.505825	-0.9318375	-2.42004778715109	0.0269029071190664	0.999805217187098	-4.02185780628063
H3024G07_1	Mycl1	0.599925	0.58341875	2.41979054910608	0.0269169745068913	0.999805217187098	-4.02198411951878
H3081B04_1		-0.482875	-0.03956875	-2.41438727275775	0.0272140610389895	0.999805217187098	-4.02463697201207
H3027G01_1	Lsm2	-0.5961	-0.5866	-2.39529039286499	0.0282889050778494	0.999805217187098	-4.03400735216037
H3020E11_1	Ccnf	-0.4992	-0.9205125	-2.39289300404736	0.0284266175820462	0.999805217187098	-4.03518304375618
H3063A11_1		0.401675	0.10310625	2.38668473861571	0.0287861631508363	0.999805217187098	-4.03822690420681
H3075D05_1	Sfrs2	-0.391875	-0.2609875	-2.38299209444938	0.0290020352115931	0.999805217187098	-4.04003688525516
H3049H02_1		0.641675	-0.0897625	2.3817421403312	0.0290754503985449	0.999805217187098	-4.04064947644584
H3020D06_1	Icmt///Icmt	0.43225	0.00222499999999999	2.3809001943833	0.0291249995658958	0.999805217187098	-4.04106208222759
H3108F05_1		-0.65255	0.0574875	-2.38039714377854	0.0291546422053595	0.999805217187098	-4.04130859888062
H3100F03_1	D10Wsu102e	-0.468175	-0.0544875	-2.37788679419106	0.029302989147188	0.999805217187098	-4.04253867384748
H3025H02_1		0.700025	-0.0474125	2.37714904698245	0.0293467198572214	0.999805217187098	-4.04290013747993
H3033A07_1	Mkrn1	0.47135	0.52255625	2.37702865196746	0.0293538621891327	0.999805217187098	-4.04295912427847
H3099F05_1		-0.430475	0.00734375	-2.3767139003304	0.0293725422509785	0.999805217187098	-4.04311333297855
H3063G02_1	Espn	0.6254	-0.0116	2.37542091387106	0.0294493959653353	0.999805217187098	-4.04374678641438
H3154B06_1	BC017647	-0.322825	0.022075	-2.37162253441083	0.0296762574813978	0.999805217187098	-4.04560739364643
H3041C10_1	2310022K01Rik	-0.431625	-0.6788625	-2.3700642432034	0.0297697999885275	0.999805217187098	-4.04637059051333
H3041D02_1		0.663275	-0.16555625	2.36935843894213	0.0298122593490648	0.999805217187098	-4.04671624568867
H3003E07_1	Cdc45l	-0.63405	-0.64285625	-2.3680169387242	0.0298931167460726	0.999805217187098	-4.04737318162041
H3127A12_1	Rbbp7	-0.35505	-0.4399125	-2.36528844994141	0.0300582065992283	0.999805217187098	-4.04870916591278
H3132D03_1	Csda	-0.43875	-0.35525625	-2.36421768866532	0.0301232267107694	0.999805217187098	-4.04923339595194
H3040B06_1	Usp24	-0.574575	-0.07225	-2.36185764229336	0.030267001085424	0.999805217187098	-4.05038872126233
H3061H02_1		0.81295	-0.10310625	2.35963698657822	0.0304028693749961	0.999805217187098	-4.05147565668413
H3046C10_1		-0.645925	-0.51748125	-2.35321911492133	0.0307987508940591	0.999805217187098	-4.05461613804219
H3145H06_1		0.6406	0.14136875	2.35235170324874	0.0308526245007049	0.999805217187098	-4.05504049387119
H3024E09_1		-0.8928	-1.08111875	-2.34936537066715	0.0310387750111252	0.999805217187098	-4.05650128886595
H3093A01_1		-0.499225	0.20301875	-2.3486386516577	0.0310842328508428	0.999805217187098	-4.05685672816458
H3049H05_1	Amot	0.35765	0.13845625	2.34696313881527	0.0311892768110211	0.999805217187098	-4.05767615970471
H3159F06_1	Lrrcc1	-0.4637	-0.09909375	-2.34427527367724	0.0313584813955737	0.999805217187098	-4.05899050715455
H3064B06_1	Chek1	-0.6875	-0.5359125	-2.3385854579138	0.0317194933210672	0.999805217187098	-4.06177201217082
H3102A02_1		-0.46025	0.0131875	-2.33701495835862	0.0318198204609659	0.999805217187098	-4.06253957356773
H3011G02_1		-0.398675	-0.0824625	-2.33587997371654	0.031892510106502	0.999805217187098	-4.0630942314929
H3027F05_1	Mum1l1	-0.428925	-0.0846	-2.33537044176467	0.0319251932354416	0.999805217187098	-4.06334322166267
H3137B11_1		-0.84725	-1.15056875	-2.3350186257014	0.0319477781566123	0.999805217187098	-4.06351513659398
H3141B05_1	Ezh2	-0.454175	-0.40003125	-2.33461428848284	0.0319737530930574	0.999805217187098	-4.06371271085112
H3049E03_1	Dnajc2	-0.390375	-0.37178125	-2.33441546747858	0.0319865327318762	0.999805217187098	-4.06380986019698
H3068B03_1		-0.5392	-0.0647125	-2.33440203994203	0.0319873959867946	0.999805217187098	-4.06381642120825
H3032G10_1		-0.38295	-0.04776875	-2.33409810917863	0.0320069414772746	0.999805217187098	-4.06396492732706
H3120E01_1		-0.57245	0.1224625	-2.33370354386288	0.0320323322048913	0.999805217187098	-4.06415771449384
H3071H02_1		0.577875	-0.01655	2.33064842587137	0.0322295693111174	0.999805217187098	-4.06565028628718
H3015A07_1	Galnt2	0.353725	0.2166375	2.32511480813389	0.0325897031258625	0.999805217187098	-4.06835290935668
H3025F09_1		-0.6117	-1.1031875	-2.32369393945774	0.0326827781022212	0.999805217187098	-4.06904669111968
H3005A10_1	2810417H13Rik	-0.5992	-0.71813125	-2.32068989865594	0.0328803758809301	0.999805217187098	-4.07051327048762
H3064B12_1	Smc6	-0.377075	-0.37121875	-2.3204463973313	0.0328964414176617	0.999805217187098	-4.07063213439036
H3052F05_1		-0.55215	-0.12688125	-2.32008891082013	0.032920040627566	0.999805217187098	-4.07080663575202
H3076E11_1	Zfand2b	0.4504	0.13299375	2.31771447787416	0.0330771877595152	0.999805217187098	-4.07196556184024
H3130G05_1	Bub1	-0.83585	-1.2997375	-2.31412252313397	0.0333162425237728	0.999805217187098	-4.0737183575471
H3078A10_1	Bre	0.455225	0.026375	2.31336782934115	0.0333666736127089	0.999805217187098	-4.07408657226965
H3131F05_1	Tex101	-0.551875	-0.04810625	-2.31236862063313	0.0334335533280313	0.999805217187098	-4.07457405374785
H3123F05_1		-0.431775	0.05985625	-2.306754402727	0.0338116539498207	0.999805217187098	-4.07731236544057
H3111A01_1		-0.39465	0.13235	-2.3063361896821	0.0338399779876111	0.999805217187098	-4.07751630034102
H3044C06_1	Lpin2	-0.4372	-0.10945	-2.30604162177165	0.0338599412426581	0.999805217187098	-4.07765993774626
H3052H02_1	Cox6b2	1.08495	-0.14978125	2.30534087027467	0.0339074761408192	0.999805217187098	-4.07800162561337
